ID;OwnerTenant;DwellingCharacteristics;Margins;Regions;Periods;SatisfactionWithCurrentDwelling_1;SatisfactionWithLivingEnvironment_2
361;Total;Total dwellings;Value;Groot-Rijnmond (CR);2006;85.6;78.3
362;Total;Total dwellings;Value;Groot-Rijnmond (CR);2009;87.2;78.6
363;Total;Total dwellings;Value;Groot-Rijnmond (CR);2012;85.5;78.5
364;Total;Total dwellings;Value;Groot-Rijnmond (CR);2015;82.2;75.4
365;Total;Total dwellings;Value;Groot-Rijnmond (CR);2018;80.3;76.9
366;Total;Total dwellings;Value;Groot-Rijnmond (CR);2021;79.6;77.5
367;Total;Total dwellings;Value;Groot-Rijnmond (CR);2024;77.4;77.3
368;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2002;89.8;85.5
369;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2006;91.9;85.5
370;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2009;90.2;81.4
371;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2012;88.4;84.8
372;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2015;87.7;82.8
373;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2018;86.9;83.5
374;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2021;84.4;82.8
375;Total;Total dwellings;Value;Zuidoost-Zuid-Holland (CR);2024;83.9;81.1
376;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2002;93.3;89.3
377;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2006;93.6;90.9
378;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2009;92.1;86.5
379;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2012;91.3;87.4
380;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2015;91.7;86.7
381;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2018;89.4;85.6
382;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2021;88.7;90.0
383;Total;Total dwellings;Value;Zeeuwsch-Vlaanderen (CR);2024;86.6;89.0
384;Total;Total dwellings;Value;Overig Zeeland (CR);2002;92.4;89.5
385;Total;Total dwellings;Value;Overig Zeeland (CR);2006;92.2;89.1
386;Total;Total dwellings;Value;Overig Zeeland (CR);2009;92.0;86.8
387;Total;Total dwellings;Value;Overig Zeeland (CR);2012;91.2;86.9
388;Total;Total dwellings;Value;Overig Zeeland (CR);2015;88.5;85.7
389;Total;Total dwellings;Value;Overig Zeeland (CR);2018;85.9;84.6
390;Total;Total dwellings;Value;Overig Zeeland (CR);2021;89.7;86.4
391;Total;Total dwellings;Value;Overig Zeeland (CR);2024;86.5;85.3
392;Total;Total dwellings;Value;West-Noord-Brabant (CR);2002;91.1;86.0
393;Total;Total dwellings;Value;West-Noord-Brabant (CR);2006;92.6;86.9
394;Total;Total dwellings;Value;West-Noord-Brabant (CR);2009;92.2;84.6
395;Total;Total dwellings;Value;West-Noord-Brabant (CR);2012;90.5;84.4
396;Total;Total dwellings;Value;West-Noord-Brabant (CR);2015;89.7;83.7
397;Total;Total dwellings;Value;West-Noord-Brabant (CR);2018;86.5;84.3
398;Total;Total dwellings;Value;West-Noord-Brabant (CR);2021;88.4;83.2
399;Total;Total dwellings;Value;West-Noord-Brabant (CR);2024;83.0;82.8
400;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2002;91.4;86.1
401;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2006;91.6;84.2
402;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2009;91.7;84.2
403;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2012;90.6;85.3
404;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2015;87.4;81.7
405;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2018;84.8;81.7
406;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2021;85.9;82.7
407;Total;Total dwellings;Value;Midden-Noord-Brabant (CR);2024;85.4;82.9
408;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2002;92.0;87.4
409;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2006;92.7;88.8
410;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2009;92.4;86.5
411;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2012;90.8;87.8
412;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2015;89.7;86.5
413;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2018;87.3;87.7
414;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2021;88.0;87.7
415;Total;Total dwellings;Value;Noordoost-Noord-Brabant (CR);2024;84.1;83.3
416;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2002;90.9;86.7
417;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2006;91.2;86.7
418;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2009;91.3;85.0
419;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2012;90.4;85.5
420;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2015;89.6;84.7
421;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2018;86.0;84.8
422;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2021;87.9;86.5
423;Total;Total dwellings;Value;Zuidoost-Noord-Brabant (CR);2024;83.4;81.9
424;Total;Total dwellings;Value;Noord-Limburg (CR);2002;90.8;86.2
425;Total;Total dwellings;Value;Noord-Limburg (CR);2006;93.1;89.1
426;Total;Total dwellings;Value;Noord-Limburg (CR);2009;90.1;85.3
427;Total;Total dwellings;Value;Noord-Limburg (CR);2012;90.6;84.3
428;Total;Total dwellings;Value;Noord-Limburg (CR);2015;90.4;85.5
429;Total;Total dwellings;Value;Noord-Limburg (CR);2018;87.2;87.2
430;Total;Total dwellings;Value;Noord-Limburg (CR);2021;89.7;85.4
431;Total;Total dwellings;Value;Noord-Limburg (CR);2024;83.0;84.9
432;Total;Total dwellings;Value;Midden-Limburg (CR);2002;90.6;88.8
433;Total;Total dwellings;Value;Midden-Limburg (CR);2006;93.4;88.1
434;Total;Total dwellings;Value;Midden-Limburg (CR);2009;90.0;85.4
435;Total;Total dwellings;Value;Midden-Limburg (CR);2012;88.6;84.4
436;Total;Total dwellings;Value;Midden-Limburg (CR);2015;89.7;83.3
437;Total;Total dwellings;Value;Midden-Limburg (CR);2018;90.3;87.7
438;Total;Total dwellings;Value;Midden-Limburg (CR);2021;88.0;87.3
439;Total;Total dwellings;Value;Midden-Limburg (CR);2024;86.2;86.7
440;Total;Total dwellings;Value;Zuid-Limburg (CR);2002;89.5;82.8
441;Total;Total dwellings;Value;Zuid-Limburg (CR);2006;89.4;83.9
442;Total;Total dwellings;Value;Zuid-Limburg (CR);2009;89.8;80.5
443;Total;Total dwellings;Value;Zuid-Limburg (CR);2012;89.2;80.4
444;Total;Total dwellings;Value;Zuid-Limburg (CR);2015;86.1;78.9
445;Total;Total dwellings;Value;Zuid-Limburg (CR);2018;83.4;81.0
446;Total;Total dwellings;Value;Zuid-Limburg (CR);2021;83.9;81.6
447;Total;Total dwellings;Value;Zuid-Limburg (CR);2024;81.6;81.7
448;Total;Total dwellings;Value;Flevoland (CR);2002;91.8;82.6
449;Total;Total dwellings;Value;Flevoland (CR);2006;89.4;84.0
450;Total;Total dwellings;Value;Flevoland (CR);2009;91.0;83.1
451;Total;Total dwellings;Value;Flevoland (CR);2012;89.6;82.8
452;Total;Total dwellings;Value;Flevoland (CR);2015;88.6;78.4
453;Total;Total dwellings;Value;Flevoland (CR);2018;85.0;81.2
454;Total;Total dwellings;Value;Flevoland (CR);2021;88.5;83.0
455;Total;Total dwellings;Value;Flevoland (CR);2024;84.7;77.7
456;Total;Total dwellings;Value;Alkmaar;2002;87.9;87.3
457;Total;Total dwellings;Value;Alkmaar;2006;87.3;81.5
458;Total;Total dwellings;Value;Alkmaar;2009;86.5;87.6
459;Total;Total dwellings;Value;Alkmaar;2012;86.5;87.2
460;Total;Total dwellings;Value;Alkmaar;2015;82.3;80.3
461;Total;Total dwellings;Value;Alkmaar;2018;83.2;83.1
462;Total;Total dwellings;Value;Alkmaar;2021;86.4;88.9
463;Total;Total dwellings;Value;Alkmaar;2024;85.4;86.2
464;Total;Total dwellings;Value;Almere;2002;92.2;81.5
465;Total;Total dwellings;Value;Almere;2006;87.1;79.2
466;Total;Total dwellings;Value;Almere;2009;89.9;81.2
467;Total;Total dwellings;Value;Almere;2012;90.9;81.4
468;Total;Total dwellings;Value;Almere;2015;87.3;72.5
469;Total;Total dwellings;Value;Almere;2018;85.3;79.3
470;Total;Total dwellings;Value;Almere;2021;85.3;79.7
471;Total;Total dwellings;Value;Almere;2024;82.4;74.0
472;Total;Total dwellings;Value;Alphen aan den Rijn;2002;89.5;81.1
473;Total;Total dwellings;Value;Alphen aan den Rijn;2006;95.2;86.5
474;Total;Total dwellings;Value;Alphen aan den Rijn;2009;90.7;81.3
475;Total;Total dwellings;Value;Alphen aan den Rijn;2012;91.0;85.6
476;Total;Total dwellings;Value;Alphen aan den Rijn;2015;87.1;79.0
477;Total;Total dwellings;Value;Alphen aan den Rijn;2018;88.1;83.4
478;Total;Total dwellings;Value;Alphen aan den Rijn;2021;91.0;88.5
479;Total;Total dwellings;Value;Alphen aan den Rijn;2024;86.9;86.0
480;Total;Total dwellings;Value;Amersfoort;2002;86.7;83.9
481;Total;Total dwellings;Value;Amersfoort;2006;86.3;83.8
482;Total;Total dwellings;Value;Amersfoort;2009;90.4;84.4
483;Total;Total dwellings;Value;Amersfoort;2012;89.7;88.6
484;Total;Total dwellings;Value;Amersfoort;2015;88.0;81.3
485;Total;Total dwellings;Value;Amersfoort;2018;90.2;87.4
486;Total;Total dwellings;Value;Amersfoort;2021;85.9;84.1
487;Total;Total dwellings;Value;Amersfoort;2024;81.5;78.8
488;Total;Total dwellings;Value;Amsterdam;2002;75.1;74.7
489;Total;Total dwellings;Value;Amsterdam;2006;77.3;77.9
490;Total;Total dwellings;Value;Amsterdam;2009;81.1;79.1
491;Total;Total dwellings;Value;Amsterdam;2012;81.1;78.0
492;Total;Total dwellings;Value;Amsterdam;2015;77.7;77.4
493;Total;Total dwellings;Value;Amsterdam;2018;75.9;79.6
494;Total;Total dwellings;Value;Amsterdam;2021;76.4;78.4
495;Total;Total dwellings;Value;Amsterdam;2024;73.4;79.0
496;Total;Total dwellings;Value;Apeldoorn;2002;90.3;86.3
497;Total;Total dwellings;Value;Apeldoorn;2006;88.9;85.9
498;Total;Total dwellings;Value;Apeldoorn;2009;90.5;85.0
499;Total;Total dwellings;Value;Apeldoorn;2012;89.4;85.3
500;Total;Total dwellings;Value;Apeldoorn;2015;91.2;82.1
501;Total;Total dwellings;Value;Apeldoorn;2018;83.3;84.2
502;Total;Total dwellings;Value;Apeldoorn;2021;89.6;86.7
503;Total;Total dwellings;Value;Apeldoorn;2024;83.6;85.2
504;Total;Total dwellings;Value;Arnhem;2002;79.4;72.5
505;Total;Total dwellings;Value;Arnhem;2006;85.2;77.1
506;Total;Total dwellings;Value;Arnhem;2009;83.6;75.0
507;Total;Total dwellings;Value;Arnhem;2012;83.5;78.4
508;Total;Total dwellings;Value;Arnhem;2015;80.9;74.0
509;Total;Total dwellings;Value;Arnhem;2018;79.2;80.4
510;Total;Total dwellings;Value;Arnhem;2021;78.2;79.1
511;Total;Total dwellings;Value;Arnhem;2024;72.4;74.9
512;Total;Total dwellings;Value;Breda;2002;88.0;83.1
513;Total;Total dwellings;Value;Breda;2006;89.2;82.8
514;Total;Total dwellings;Value;Breda;2009;87.4;79.0
515;Total;Total dwellings;Value;Breda;2012;88.7;83.5
516;Total;Total dwellings;Value;Breda;2015;89.1;82.1
517;Total;Total dwellings;Value;Breda;2018;85.2;83.5
518;Total;Total dwellings;Value;Breda;2021;84.7;79.0
519;Total;Total dwellings;Value;Breda;2024;75.9;82.3
520;Total;Total dwellings;Value;Delft;2002;87.4;80.4
521;Total;Total dwellings;Value;Delft;2006;85.3;80.2
522;Total;Total dwellings;Value;Delft;2009;88.0;79.0
523;Total;Total dwellings;Value;Delft;2012;84.6;78.0
524;Total;Total dwellings;Value;Delft;2015;80.6;74.5
525;Total;Total dwellings;Value;Delft;2018;77.3;76.6
526;Total;Total dwellings;Value;Delft;2021;73.9;81.5
527;Total;Total dwellings;Value;Delft;2024;80.3;76.3
528;Total;Total dwellings;Value;Dordrecht;2002;88.2;80.5
529;Total;Total dwellings;Value;Dordrecht;2006;87.4;81.6
530;Total;Total dwellings;Value;Dordrecht;2009;86.2;77.3
531;Total;Total dwellings;Value;Dordrecht;2012;90.1;88.1
532;Total;Total dwellings;Value;Dordrecht;2015;84.1;74.7
533;Total;Total dwellings;Value;Dordrecht;2018;84.3;80.9
534;Total;Total dwellings;Value;Dordrecht;2021;81.0;80.0
535;Total;Total dwellings;Value;Dordrecht;2024;82.3;81.7
536;Total;Total dwellings;Value;Ede;2002;90.5;85.8
537;Total;Total dwellings;Value;Ede;2006;95.2;90.2
538;Total;Total dwellings;Value;Ede;2009;96.6;88.8
539;Total;Total dwellings;Value;Ede;2012;91.6;85.8
540;Total;Total dwellings;Value;Ede;2015;86.7;82.1
541;Total;Total dwellings;Value;Ede;2018;89.9;88.9
542;Total;Total dwellings;Value;Ede;2021;88.1;86.1
543;Total;Total dwellings;Value;Ede;2024;77.2;80.3
544;Total;Total dwellings;Value;Eindhoven;2002;86.4;80.7
545;Total;Total dwellings;Value;Eindhoven;2006;87.9;81.2
546;Total;Total dwellings;Value;Eindhoven;2009;86.1;77.0
547;Total;Total dwellings;Value;Eindhoven;2012;87.4;79.3
548;Total;Total dwellings;Value;Eindhoven;2015;83.8;80.0
549;Total;Total dwellings;Value;Eindhoven;2018;81.4;79.4
550;Total;Total dwellings;Value;Eindhoven;2021;81.3;80.1
551;Total;Total dwellings;Value;Eindhoven;2024;75.3;74.7
552;Total;Total dwellings;Value;Emmen;2002;88.7;87.2
553;Total;Total dwellings;Value;Emmen;2006;90.5;86.7
554;Total;Total dwellings;Value;Emmen;2009;88.3;85.8
555;Total;Total dwellings;Value;Emmen;2012;90.5;87.1
556;Total;Total dwellings;Value;Emmen;2015;91.5;81.4
557;Total;Total dwellings;Value;Emmen;2018;84.1;82.1
558;Total;Total dwellings;Value;Emmen;2021;86.9;78.2
559;Total;Total dwellings;Value;Emmen;2024;87.8;85.0
560;Total;Total dwellings;Value;Enschede;2002;87.5;80.0
561;Total;Total dwellings;Value;Enschede;2006;89.0;83.7
562;Total;Total dwellings;Value;Enschede;2009;84.4;80.7
563;Total;Total dwellings;Value;Enschede;2012;87.1;76.5
564;Total;Total dwellings;Value;Enschede;2015;81.6;77.6
565;Total;Total dwellings;Value;Enschede;2018;79.0;75.7
566;Total;Total dwellings;Value;Enschede;2021;86.0;77.4
567;Total;Total dwellings;Value;Enschede;2024;78.1;77.6
568;Total;Total dwellings;Value;'s-Gravenhage (municipality);2002;84.1;71.8
569;Total;Total dwellings;Value;'s-Gravenhage (municipality);2006;82.7;74.9
570;Total;Total dwellings;Value;'s-Gravenhage (municipality);2009;82.8;73.0
571;Total;Total dwellings;Value;'s-Gravenhage (municipality);2012;81.6;74.6
572;Total;Total dwellings;Value;'s-Gravenhage (municipality);2015;79.2;74.5
573;Total;Total dwellings;Value;'s-Gravenhage (municipality);2018;74.3;76.2
574;Total;Total dwellings;Value;'s-Gravenhage (municipality);2021;75.9;74.7
575;Total;Total dwellings;Value;'s-Gravenhage (municipality);2024;71.6;72.1
576;Total;Total dwellings;Value;Groningen (municipality);2002;85.1;81.9
577;Total;Total dwellings;Value;Groningen (municipality);2006;88.4;85.1
578;Total;Total dwellings;Value;Groningen (municipality);2009;84.6;78.6
579;Total;Total dwellings;Value;Groningen (municipality);2012;85.2;83.5
580;Total;Total dwellings;Value;Groningen (municipality);2015;85.5;77.1
581;Total;Total dwellings;Value;Groningen (municipality);2018;83.4;82.5
582;Total;Total dwellings;Value;Groningen (municipality);2021;81.6;79.2
583;Total;Total dwellings;Value;Groningen (municipality);2024;78.5;80.7
584;Total;Total dwellings;Value;Haarlem;2002;88.5;83.3
585;Total;Total dwellings;Value;Haarlem;2006;89.5;83.5
586;Total;Total dwellings;Value;Haarlem;2009;88.7;79.2
587;Total;Total dwellings;Value;Haarlem;2012;86.6;81.9
588;Total;Total dwellings;Value;Haarlem;2015;86.6;77.9
589;Total;Total dwellings;Value;Haarlem;2018;83.6;84.1
590;Total;Total dwellings;Value;Haarlem;2021;81.4;80.5
591;Total;Total dwellings;Value;Haarlem;2024;85.2;81.4
592;Total;Total dwellings;Value;Haarlemmermeer;2002;91.1;80.0
593;Total;Total dwellings;Value;Haarlemmermeer;2006;88.7;85.4
594;Total;Total dwellings;Value;Haarlemmermeer;2009;90.6;79.8
595;Total;Total dwellings;Value;Haarlemmermeer;2012;90.7;83.3
596;Total;Total dwellings;Value;Haarlemmermeer;2015;85.6;82.2
597;Total;Total dwellings;Value;Haarlemmermeer;2018;86.9;89.3
598;Total;Total dwellings;Value;Haarlemmermeer;2021;87.0;85.5
599;Total;Total dwellings;Value;Haarlemmermeer;2024;80.9;79.1
600;Total;Total dwellings;Value;'s-Hertogenbosch;2002;87.4;80.3
601;Total;Total dwellings;Value;'s-Hertogenbosch;2006;89.4;82.3
602;Total;Total dwellings;Value;'s-Hertogenbosch;2009;90.4;82.6
603;Total;Total dwellings;Value;'s-Hertogenbosch;2012;86.1;80.6
604;Total;Total dwellings;Value;'s-Hertogenbosch;2015;82.9;82.6
605;Total;Total dwellings;Value;'s-Hertogenbosch;2018;85.8;87.2
606;Total;Total dwellings;Value;'s-Hertogenbosch;2021;85.4;81.7
607;Total;Total dwellings;Value;'s-Hertogenbosch;2024;75.2;78.0
608;Total;Total dwellings;Value;Leeuwarden;2002;87.8;84.2
609;Total;Total dwellings;Value;Leeuwarden;2006;85.4;79.0
610;Total;Total dwellings;Value;Leeuwarden;2009;89.6;78.8
611;Total;Total dwellings;Value;Leeuwarden;2012;89.3;83.6
612;Total;Total dwellings;Value;Leeuwarden;2015;82.3;77.1
613;Total;Total dwellings;Value;Leeuwarden;2018;84.9;79.8
614;Total;Total dwellings;Value;Leeuwarden;2021;84.1;86.1
615;Total;Total dwellings;Value;Leeuwarden;2024;74.2;74.1
616;Total;Total dwellings;Value;Leiden;2002;88.4;82.0
617;Total;Total dwellings;Value;Leiden;2006;86.4;77.3
618;Total;Total dwellings;Value;Leiden;2009;87.1;78.4
619;Total;Total dwellings;Value;Leiden;2012;88.2;77.3
620;Total;Total dwellings;Value;Leiden;2015;83.6;79.7
621;Total;Total dwellings;Value;Leiden;2018;79.9;77.3
622;Total;Total dwellings;Value;Leiden;2021;81.8;83.2
623;Total;Total dwellings;Value;Leiden;2024;81.8;80.8
624;Total;Total dwellings;Value;Maastricht;2002;88.9;79.7
625;Total;Total dwellings;Value;Maastricht;2006;83.8;81.8
626;Total;Total dwellings;Value;Maastricht;2009;87.2;75.9
627;Total;Total dwellings;Value;Maastricht;2012;86.4;76.6
628;Total;Total dwellings;Value;Maastricht;2015;84.1;75.6
629;Total;Total dwellings;Value;Maastricht;2018;79.6;78.6
630;Total;Total dwellings;Value;Maastricht;2021;79.2;80.7
631;Total;Total dwellings;Value;Maastricht;2024;83.3;83.0
632;Total;Total dwellings;Value;Nijmegen;2002;82.2;77.1
633;Total;Total dwellings;Value;Nijmegen;2006;85.1;78.2
634;Total;Total dwellings;Value;Nijmegen;2009;86.2;79.9
635;Total;Total dwellings;Value;Nijmegen;2012;85.6;81.6
636;Total;Total dwellings;Value;Nijmegen;2015;83.4;77.7
637;Total;Total dwellings;Value;Nijmegen;2018;79.8;79.6
638;Total;Total dwellings;Value;Nijmegen;2021;83.8;81.8
639;Total;Total dwellings;Value;Nijmegen;2024;82.9;80.7
640;Total;Total dwellings;Value;Rotterdam;2002;79.9;69.7
641;Total;Total dwellings;Value;Rotterdam;2006;80.7;71.6
642;Total;Total dwellings;Value;Rotterdam;2009;82.2;73.7
643;Total;Total dwellings;Value;Rotterdam;2012;80.0;72.9
644;Total;Total dwellings;Value;Rotterdam;2015;76.2;69.6
645;Total;Total dwellings;Value;Rotterdam;2018;74.7;71.4
646;Total;Total dwellings;Value;Rotterdam;2021;74.4;73.3
647;Total;Total dwellings;Value;Rotterdam;2024;71.2;73.3
648;Total;Total dwellings;Value;Tilburg;2002;88.3;79.4
649;Total;Total dwellings;Value;Tilburg;2006;89.1;78.5
650;Total;Total dwellings;Value;Tilburg;2009;88.0;78.8
651;Total;Total dwellings;Value;Tilburg;2012;89.8;82.1
652;Total;Total dwellings;Value;Tilburg;2015;83.1;78.2
653;Total;Total dwellings;Value;Tilburg;2018;82.3;76.2
654;Total;Total dwellings;Value;Tilburg;2021;82.2;74.8
655;Total;Total dwellings;Value;Tilburg;2024;80.4;78.9
656;Total;Total dwellings;Value;Utrecht (municipality);2002;86.9;76.7
657;Total;Total dwellings;Value;Utrecht (municipality);2006;84.7;77.0
658;Total;Total dwellings;Value;Utrecht (municipality);2009;87.5;76.6
659;Total;Total dwellings;Value;Utrecht (municipality);2012;85.0;77.6
660;Total;Total dwellings;Value;Utrecht (municipality);2015;83.1;74.9
661;Total;Total dwellings;Value;Utrecht (municipality);2018;83.8;76.8
662;Total;Total dwellings;Value;Utrecht (municipality);2021;82.0;81.4
663;Total;Total dwellings;Value;Utrecht (municipality);2024;78.6;78.1
664;Total;Total dwellings;Value;Venlo;2002;88.7;81.5
665;Total;Total dwellings;Value;Venlo;2006;92.7;80.9
666;Total;Total dwellings;Value;Venlo;2009;87.9;80.1
667;Total;Total dwellings;Value;Venlo;2012;85.3;78.4
668;Total;Total dwellings;Value;Venlo;2015;90.4;80.3
669;Total;Total dwellings;Value;Venlo;2018;82.8;82.0
670;Total;Total dwellings;Value;Venlo;2021;87.7;78.8
671;Total;Total dwellings;Value;Venlo;2024;84.0;78.7
672;Total;Total dwellings;Value;Westland;2002;;
673;Total;Total dwellings;Value;Westland;2006;94.5;87.8
674;Total;Total dwellings;Value;Westland;2009;92.7;86.9
675;Total;Total dwellings;Value;Westland;2012;94.3;87.0
676;Total;Total dwellings;Value;Westland;2015;91.4;85.3
677;Total;Total dwellings;Value;Westland;2018;88.6;86.2
678;Total;Total dwellings;Value;Westland;2021;86.6;84.9
679;Total;Total dwellings;Value;Westland;2024;89.2;86.4
680;Total;Total dwellings;Value;Zaanstad;2002;85.6;84.7
681;Total;Total dwellings;Value;Zaanstad;2006;88.4;80.4
682;Total;Total dwellings;Value;Zaanstad;2009;86.6;76.1
683;Total;Total dwellings;Value;Zaanstad;2012;89.2;78.7
684;Total;Total dwellings;Value;Zaanstad;2015;88.0;80.0
685;Total;Total dwellings;Value;Zaanstad;2018;81.7;74.5
686;Total;Total dwellings;Value;Zaanstad;2021;78.3;77.1
687;Total;Total dwellings;Value;Zaanstad;2024;82.3;76.1
688;Total;Total dwellings;Value;Zoetermeer;2002;88.7;79.2
689;Total;Total dwellings;Value;Zoetermeer;2006;94.2;83.6
690;Total;Total dwellings;Value;Zoetermeer;2009;91.3;79.2
691;Total;Total dwellings;Value;Zoetermeer;2012;91.2;83.6
692;Total;Total dwellings;Value;Zoetermeer;2015;85.6;77.8
693;Total;Total dwellings;Value;Zoetermeer;2018;83.7;83.0
694;Total;Total dwellings;Value;Zoetermeer;2021;82.4;81.6
695;Total;Total dwellings;Value;Zoetermeer;2024;79.6;77.9
696;Total;Total dwellings;Value;Zwolle;2002;88.9;84.7
697;Total;Total dwellings;Value;Zwolle;2006;90.5;84.6
698;Total;Total dwellings;Value;Zwolle;2009;88.2;82.9
699;Total;Total dwellings;Value;Zwolle;2012;88.6;84.0
700;Total;Total dwellings;Value;Zwolle;2015;84.6;78.4
